pattern { A [lemma=/fare/i, upos="VERB"];
          B [form=/a/i, upos="ADP"];
          C [form=/meno/i, upos="ADV"];
          D [form=/di/i, upos="ADP"];
          E [upos=NOUN|PRON|VERB];

          C -[case]-> B;
          A -[advmod]-> C;
          A -[obl|xcomp]-> E;
          E -[case|mark]->D;

          B<C;
        }


############

# PoSTWITA

# sent_id = 980

# text = Nn posso fare a meno di pensare ad un terzino sx del foggia ai tempi di zeman quando ti vedo #quasi30anni

1	Nn	non	ADV	BN	PronType=Neg	3	advmod	_	_
2	posso	potere	AUX	VM	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	3	aux	_	_
3	fare	fare	VERB	V	VerbForm=Inf	0	root	_	_
4	a	a	ADP	E	_	5	case	_	_
5	meno	meno	ADV	B	_	3	advmod	_	_
6	di	di	ADP	E	_	7	mark	_	_
7	pensare	pensare	VERB	V	VerbForm=Inf	3	xcomp	_	_
8	ad	ad	ADP	E	_	10	case	_	_
9	un	uno	DET	RI	Definite=Ind|Gender=Masc|Number=Sing|PronType=Art	10	det	_	_
10	terzino	terzino	NOUN	S	Gender=Masc|Number=Sing	7	obl	_	_
11	sx	sinistro	ADJ	A	Gender=Masc|Number=Sing	10	amod	_	_
12-13	del	_	_	_	_	_	_	_	_
12	di	di	ADP	E	_	14	case	_	_
13	il	il	DET	RD	Definite=Def|Gender=Masc|Number=Sing|PronType=Art	14	det	_	_
14	foggia	foggia	PROPN	SP	_	10	nmod	_	_
15-16	ai	_	_	_	_	_	_	_	_
15	a	a	ADP	E	_	17	case	_	_
16	i	il	DET	RD	Definite=Def|Gender=Masc|Number=Plur|PronType=Art	17	det	_	_
17	tempi	tempo	NOUN	S	Gender=Masc|Number=Plur	7	obl	_	_
18	di	di	ADP	E	_	19	case	_	_
19	zeman	zeman	PROPN	SP	_	17	nmod	_	_
20	quando	quando	SCONJ	CS	_	22	mark	_	_
21	ti	ti	PRON	PC	Clitic=Yes|Number=Sing|Person=2|PronType=Prs	22	obj	_	_
