sent_id	left_context	pivot	right_context
362	Facendo 	riferimento	 al FAI , che è un' associazione che opera a tutela dei beni storici presenti sul territorio italiano , la mia mente si proietta immediatamente sul castello medievale che domina il paese dove abito , Sabbionara d' Avio , che è gestito appunto dal FAI . 
364	Ed è così che si finisce per regredire sempre di più , fino ad arrivare al punto di vergognarsi di far 	parte	 della propria nazione . 
428	Infatti fra gli spettatori non vi erano soltanto scienziati , ma anche molte persone credenti , attratte dalla prospettiva che un religioso potesse fare 	chiarezza	 riguardo alle interazioni tra fisica , scienza e fede , che come ben noto , in passato non sono state idilliache . 
464	Su questa dichiarazione ci sarebbe da discutere a lungo e sinceramente io penso che non ne sarei in grado perché le mie conoscenze sono limitate , posso solo dire che tutto quello che non si conosce fa 	paura	 , ma che per conoscere le cose bisogna attivarsi e lentamente andando avanti queste appariranno sempre più chiare . 
746	Il tempo può avere avuto un esordio ed un origine , può far 	parte	 integrale di noi oppure è una cosa a parte che attraversa noi stessi ? 
783	Cosa c' è oltre quel mare che tanto spaventa e da cui molti non fanno 	ritorno	 ? 
950	sprezzanti ed orgogliosi di fronte alle religioni , molte persone non si accorgono di far 	parte	 di una " setta " ancora più assurda e pericolosa , la società di massa . 
1168	Se guardiamo la storia dell' uomo possiamo affermare che la cattiveria ha sempre fatto 	parte	 di lui e questa è l' unica cosa che può trasformare la scienza in una minaccia . 
748	Ogni individuo sebbene si senta indistruttibile non può fare 	affidamento	 solo su sé stesso , ed è proprio in questi momenti che entra in gioco la figura dell' amico . 
1228	Beh , non ne abbiamo di problemi … perché … più in crisi di così !!! Infatti , il mercato musicale nel nostro paese è in ristagno da anni ormai , e quindi non facciamo più neanche 	testo	 . 
1244	Il paesaggio italiano non è caratterizzato solo da natura , ma di questo complesso ne fa 	parte	 una forte presenza umana la quale lo ha modellato durante i secoli grazie alla sua presenza . 
121	Svoltesi nell' ultimo fine settimana le nuove elezioni per il parlamento , si può trarre a consuntivo la conclusione che l' atteggiamento più diffuso tra i cittadini facenti 	parte	 dei paesi aderenti all' Unione Europea è l' euroscetticismo . 
275	All' inizio può essere una delusione , si può soffrire , ma anche questa è un' esperienza che ognuno di noi ha provato o proverà , ciò fa 	parte	 della vita che ci dà la possibilità di aprire gli occhi per un futuro migliore che dia sempre meno spazio a spiacevoli episodi . 
297	Il bene della società lo forma proprio chi ne fa 	parte	 . 
